idx,src_node_id,src_idx,src_optode_name,src_wl,src_coords_3d,det_node_id,det_idx,det_optode_name,det_coords_3d
1057,4,5,B,850,,1,1,1,
1058,4,5,B,850,,1,2,2,
1059,4,5,B,850,,1,3,3,
1060,4,5,B,850,,1,4,4,
1061,4,5,B,850,,2,1,1,
1062,4,5,B,850,,2,2,2,
1063,4,5,B,850,,2,3,3,
1064,4,5,B,850,,2,4,4,
1065,4,5,B,850,,3,1,1,
1066,4,5,B,850,,3,2,2,
1067,4,5,B,850,,3,3,3,
1068,4,5,B,850,,3,4,4,
1069,4,5,B,850,,4,1,1,
1070,4,5,B,850,,4,2,2,
1071,4,5,B,850,,4,3,3,
1072,4,5,B,850,,4,4,4,
1073,4,5,B,850,,5,1,1,
1074,4,5,B,850,,5,2,2,
1075,4,5,B,850,,5,3,3,
1076,4,5,B,850,,5,4,4,
1077,4,5,B,850,,6,1,1,
1078,4,5,B,850,,6,2,2,
1079,4,5,B,850,,6,3,3,
1080,4,5,B,850,,6,4,4,
1081,4,5,B,850,,7,1,1,
1082,4,5,B,850,,7,2,2,
1083,4,5,B,850,,7,3,3,
1084,4,5,B,850,,7,4,4,
1085,4,5,B,850,,8,1,1,
1086,4,5,B,850,,8,2,2,
1087,4,5,B,850,,8,3,3,
1088,4,5,B,850,,8,4,4,
1089,4,5,B,850,,9,1,1,
1090,4,5,B,850,,9,2,2,
1091,4,5,B,850,,9,3,3,
1092,4,5,B,850,,9,4,4,
1093,4,5,B,850,,10,1,1,
1094,4,5,B,850,,10,2,2,
1095,4,5,B,850,,10,3,3,
1096,4,5,B,850,,10,4,4,
1097,4,5,B,850,,11,1,1,
1098,4,5,B,850,,11,2,2,
1099,4,5,B,850,,11,3,3,
1100,4,5,B,850,,11,4,4,
1101,4,5,B,850,,12,1,1,
1102,4,5,B,850,,12,2,2,
1103,4,5,B,850,,12,3,3,
1104,4,5,B,850,,12,4,4,
1105,4,6,C,850,,1,1,1,
1106,4,6,C,850,,1,2,2,
1107,4,6,C,850,,1,3,3,
1108,4,6,C,850,,1,4,4,
1109,4,6,C,850,,2,1,1,
1110,4,6,C,850,,2,2,2,
1111,4,6,C,850,,2,3,3,
1112,4,6,C,850,,2,4,4,
1113,4,6,C,850,,3,1,1,
1114,4,6,C,850,,3,2,2,
1115,4,6,C,850,,3,3,3,
1116,4,6,C,850,,3,4,4,
1117,4,6,C,850,,4,1,1,
1118,4,6,C,850,,4,2,2,
1119,4,6,C,850,,4,3,3,
1120,4,6,C,850,,4,4,4,
1121,4,6,C,850,,5,1,1,
1122,4,6,C,850,,5,2,2,
1123,4,6,C,850,,5,3,3,
1124,4,6,C,850,,5,4,4,
1125,4,6,C,850,,6,1,1,
1126,4,6,C,850,,6,2,2,
1127,4,6,C,850,,6,3,3,
1128,4,6,C,850,,6,4,4,
1129,4,6,C,850,,7,1,1,
1130,4,6,C,850,,7,2,2,
1131,4,6,C,850,,7,3,3,
1132,4,6,C,850,,7,4,4,
1133,4,6,C,850,,8,1,1,
1134,4,6,C,850,,8,2,2,
1135,4,6,C,850,,8,3,3,
1136,4,6,C,850,,8,4,4,
1137,4,6,C,850,,9,1,1,
1138,4,6,C,850,,9,2,2,
1139,4,6,C,850,,9,3,3,
1140,4,6,C,850,,9,4,4,
1141,4,6,C,850,,10,1,1,
1142,4,6,C,850,,10,2,2,
1143,4,6,C,850,,10,3,3,
1144,4,6,C,850,,10,4,4,
1145,4,6,C,850,,11,1,1,
1146,4,6,C,850,,11,2,2,
1147,4,6,C,850,,11,3,3,
1148,4,6,C,850,,11,4,4,
1149,4,6,C,850,,12,1,1,
1150,4,6,C,850,,12,2,2,
1151,4,6,C,850,,12,3,3,
1152,4,6,C,850,,12,4,4,
1153,5,1,A,735,,1,1,1,
1154,5,1,A,735,,1,2,2,
1155,5,1,A,735,,1,3,3,
1156,5,1,A,735,,1,4,4,
1157,5,1,A,735,,2,1,1,
1158,5,1,A,735,,2,2,2,
1159,5,1,A,735,,2,3,3,
1160,5,1,A,735,,2,4,4,
1161,5,1,A,735,,3,1,1,
1162,5,1,A,735,,3,2,2,
1163,5,1,A,735,,3,3,3,
1164,5,1,A,735,,3,4,4,
1165,5,1,A,735,,4,1,1,
1166,5,1,A,735,,4,2,2,
1167,5,1,A,735,,4,3,3,
1168,5,1,A,735,,4,4,4,
1169,5,1,A,735,,5,1,1,
1170,5,1,A,735,,5,2,2,
1171,5,1,A,735,,5,3,3,
1172,5,1,A,735,,5,4,4,
1173,5,1,A,735,,6,1,1,
1174,5,1,A,735,,6,2,2,
1175,5,1,A,735,,6,3,3,
1176,5,1,A,735,,6,4,4,
1177,5,1,A,735,,7,1,1,
1178,5,1,A,735,,7,2,2,
1179,5,1,A,735,,7,3,3,
1180,5,1,A,735,,7,4,4,
1181,5,1,A,735,,8,1,1,
1182,5,1,A,735,,8,2,2,
1183,5,1,A,735,,8,3,3,
1184,5,1,A,735,,8,4,4,
1185,5,1,A,735,,9,1,1,
1186,5,1,A,735,,9,2,2,
1187,5,1,A,735,,9,3,3,
1188,5,1,A,735,,9,4,4,
1189,5,1,A,735,,10,1,1,
1190,5,1,A,735,,10,2,2,
1191,5,1,A,735,,10,3,3,
1192,5,1,A,735,,10,4,4,
1193,5,1,A,735,,11,1,1,
1194,5,1,A,735,,11,2,2,
1195,5,1,A,735,,11,3,3,
1196,5,1,A,735,,11,4,4,
1197,5,1,A,735,,12,1,1,
1198,5,1,A,735,,12,2,2,
1199,5,1,A,735,,12,3,3,
1200,5,1,A,735,,12,4,4,
1201,5,2,B,735,,1,1,1,
1202,5,2,B,735,,1,2,2,
1203,5,2,B,735,,1,3,3,
1204,5,2,B,735,,1,4,4,
1205,5,2,B,735,,2,1,1,
1206,5,2,B,735,,2,2,2,
1207,5,2,B,735,,2,3,3,
1208,5,2,B,735,,2,4,4,
1209,5,2,B,735,,3,1,1,
1210,5,2,B,735,,3,2,2,
1211,5,2,B,735,,3,3,3,
1212,5,2,B,735,,3,4,4,
1213,5,2,B,735,,4,1,1,
1214,5,2,B,735,,4,2,2,
1215,5,2,B,735,,4,3,3,
1216,5,2,B,735,,4,4,4,
1217,5,2,B,735,,5,1,1,
1218,5,2,B,735,,5,2,2,
1219,5,2,B,735,,5,3,3,
1220,5,2,B,735,,5,4,4,
1221,5,2,B,735,,6,1,1,
1222,5,2,B,735,,6,2,2,
1223,5,2,B,735,,6,3,3,
1224,5,2,B,735,,6,4,4,
1225,5,2,B,735,,7,1,1,
1226,5,2,B,735,,7,2,2,
1227,5,2,B,735,,7,3,3,
1228,5,2,B,735,,7,4,4,
1229,5,2,B,735,,8,1,1,
1230,5,2,B,735,,8,2,2,
1231,5,2,B,735,,8,3,3,
1232,5,2,B,735,,8,4,4,
1233,5,2,B,735,,9,1,1,
1234,5,2,B,735,,9,2,2,
1235,5,2,B,735,,9,3,3,
1236,5,2,B,735,,9,4,4,
1237,5,2,B,735,,10,1,1,
1238,5,2,B,735,,10,2,2,
1239,5,2,B,735,,10,3,3,
1240,5,2,B,735,,10,4,4,
1241,5,2,B,735,,11,1,1,
1242,5,2,B,735,,11,2,2,
1243,5,2,B,735,,11,3,3,
1244,5,2,B,735,,11,4,4,
1245,5,2,B,735,,12,1,1,
1246,5,2,B,735,,12,2,2,
1247,5,2,B,735,,12,3,3,
1248,5,2,B,735,,12,4,4,
1249,5,3,C,735,,1,1,1,
1250,5,3,C,735,,1,2,2,
1251,5,3,C,735,,1,3,3,
1252,5,3,C,735,,1,4,4,
1253,5,3,C,735,,2,1,1,
1254,5,3,C,735,,2,2,2,
1255,5,3,C,735,,2,3,3,
1256,5,3,C,735,,2,4,4,
1257,5,3,C,735,,3,1,1,
1258,5,3,C,735,,3,2,2,
1259,5,3,C,735,,3,3,3,
1260,5,3,C,735,,3,4,4,
1261,5,3,C,735,,4,1,1,
1262,5,3,C,735,,4,2,2,
1263,5,3,C,735,,4,3,3,
1264,5,3,C,735,,4,4,4,
1265,5,3,C,735,,5,1,1,
1266,5,3,C,735,,5,2,2,
1267,5,3,C,735,,5,3,3,
1268,5,3,C,735,,5,4,4,
1269,5,3,C,735,,6,1,1,
1270,5,3,C,735,,6,2,2,
1271,5,3,C,735,,6,3,3,
1272,5,3,C,735,,6,4,4,
1273,5,3,C,735,,7,1,1,
1274,5,3,C,735,,7,2,2,
1275,5,3,C,735,,7,3,3,
1276,5,3,C,735,,7,4,4,
1277,5,3,C,735,,8,1,1,
1278,5,3,C,735,,8,2,2,
1279,5,3,C,735,,8,3,3,
1280,5,3,C,735,,8,4,4,
1281,5,3,C,735,,9,1,1,
1282,5,3,C,735,,9,2,2,
1283,5,3,C,735,,9,3,3,
